          cand_name1          |          cand_name2          
 HAHN, JANICE                 | CICILLINE, DAVID N
 HAHN, JANICE                 | LANGEVIN, JAMES R. HONORABLE
 HAHN, JANICE                 | REED, JACK F
 KUSTER, ANN MCLANE           | CICILLINE, DAVID N
 KUSTER, ANN MCLANE           | LANGEVIN, JAMES R. HONORABLE
 KUSTER, ANN MCLANE           | REED, JACK F
 LANGEVIN, JAMES R. HONORABLE | BEGICH, MARK
 LANGEVIN, JAMES R. HONORABLE | BRALEY, BRUCE L
 LANGEVIN, JAMES R. HONORABLE | CICILLINE, DAVID N
 LANGEVIN, JAMES R. HONORABLE | CURTIS, AMANDA
 LANGEVIN, JAMES R. HONORABLE | FOUST, JOHN
 LANGEVIN, JAMES R. HONORABLE | GRIMES, ALISON  LUNDERGAN
 LANGEVIN, JAMES R. HONORABLE | HAHN, JANICE
 LANGEVIN, JAMES R. HONORABLE | KUSTER, ANN MCLANE
 LANGEVIN, JAMES R. HONORABLE | LYNCH, STEPHEN F
 LANGEVIN, JAMES R. HONORABLE | OBAMA, BARACK
 LANGEVIN, JAMES R. HONORABLE | REED, JACK F
 LANGEVIN, JAMES R. HONORABLE | SHAHEEN, JEANNE
 LANGEVIN, JAMES R. HONORABLE | WHITEHOUSE, SHELDON II
 LYNCH, STEPHEN F             | BEGICH, MARK
 LYNCH, STEPHEN F             | BRALEY, BRUCE L
 LYNCH, STEPHEN F             | CICILLINE, DAVID N
 LYNCH, STEPHEN F             | CURTIS, AMANDA
 LYNCH, STEPHEN F             | FOUST, JOHN
 LYNCH, STEPHEN F             | GRIMES, ALISON  LUNDERGAN
 LYNCH, STEPHEN F             | LANGEVIN, JAMES R. HONORABLE
 LYNCH, STEPHEN F             | OBAMA, BARACK
 LYNCH, STEPHEN F             | REED, JACK F
 LYNCH, STEPHEN F             | SHAHEEN, JEANNE
 OBAMA, BARACK                | BEGICH, MARK
 OBAMA, BARACK                | BRALEY, BRUCE L
 OBAMA, BARACK                | CICILLINE, DAVID N
 OBAMA, BARACK                | CURTIS, AMANDA
 OBAMA, BARACK                | FOUST, JOHN
 OBAMA, BARACK                | GRIMES, ALISON  LUNDERGAN
 OBAMA, BARACK                | LANGEVIN, JAMES R. HONORABLE
 OBAMA, BARACK                | LYNCH, STEPHEN F
 OBAMA, BARACK                | REED, JACK F
 OBAMA, BARACK                | SHAHEEN, JEANNE
 REED, JACK F                 | BEGICH, MARK
 REED, JACK F                 | BRALEY, BRUCE L
 REED, JACK F                 | CICILLINE, DAVID N
 REED, JACK F                 | CURTIS, AMANDA
 REED, JACK F                 | FOUST, JOHN
 REED, JACK F                 | GRIMES, ALISON  LUNDERGAN
 REED, JACK F                 | HAHN, JANICE
 REED, JACK F                 | KUSTER, ANN MCLANE
 REED, JACK F                 | LANGEVIN, JAMES R. HONORABLE
 REED, JACK F                 | LYNCH, STEPHEN F
 REED, JACK F                 | OBAMA, BARACK
 REED, JACK F                 | SHAHEEN, JEANNE
 REED, JACK F                 | WHITEHOUSE, SHELDON II
 SHAHEEN, JEANNE              | BEGICH, MARK
 SHAHEEN, JEANNE              | BRALEY, BRUCE L
 SHAHEEN, JEANNE              | CICILLINE, DAVID N
 SHAHEEN, JEANNE              | CURTIS, AMANDA
 SHAHEEN, JEANNE              | FOUST, JOHN
 SHAHEEN, JEANNE              | GRIMES, ALISON  LUNDERGAN
 SHAHEEN, JEANNE              | LANGEVIN, JAMES R. HONORABLE
 SHAHEEN, JEANNE              | LYNCH, STEPHEN F
 SHAHEEN, JEANNE              | OBAMA, BARACK
 SHAHEEN, JEANNE              | REED, JACK F
 WHITEHOUSE, SHELDON II       | CICILLINE, DAVID N
 WHITEHOUSE, SHELDON II       | LANGEVIN, JAMES R. HONORABLE
 WHITEHOUSE, SHELDON II       | REED, JACK F
(128 rows)

