                                                                                                 name                                                                                                 | total_pac_donations 
 ABAMCIS SECURING THE SECOND AMENDMENT FOR AMERICA'S FUTURE                                                                                                                                           |                    
 ABBEY ROAD                                                                                                                                                                                           |                    
 ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE                                                                                                                                              |                    
 ABBVIE POLITICAL ACTION COMMITTEE                                                                                                                                                                    |                    
 ABELER4SENATE                                                                                                                                                                                        |                    
 ABEL LAEKE FOR CONGRESS                                                                                                                                                                              |                    
 ABEL MALDONADO FOR CONGRESS                                                                                                                                                                          |                    
 A BETTER AMERICA NOW INC.                                                                                                                                                                            |                    
 A BETTER CHOICE (ABC) MARC ROMAIN                                                                                                                                                                    |                    
 ABILITIES, PAC                                                                                                                                                                                       |                    
 ABIOMED INC POLITICAL ACTION COMMITTEE (ABIOMED PAC)                                                                                                                                                 |                    
 ABM INDUSTRIES INCORPORATED PAC                                                                                                                                                                      |                    
 ABO 2012 SUPER PAC INC                                                                                                                                                                               |                    
 ABOLISH RECALLS                                                                                                                                                                                      |                    
 ABRAHAM, PHILIP F                                                                                                                                                                                    |                    
 ABRAMS, PAUL G                                                                                                                                                                                       |                    
 A BRIGHT FUTURE                                                                                                                                                                                      |                    
 A BRTHD AIMED TOWARD EDUC OF IL FED ELEC DEVICE FOR POLITICALLY ACTIVE MOTORCYCLISTS...                                                                                                              |                    
 ABSOLUTE ENERGY PAC                                                                                                                                                                                  |                    
 ACADEMY OF DOCTORS OF AUDIOLOGY POLITICAL ACTION COMMITTEE                                                                                                                                           |                    
 ACADEMY OF NUTRITION AND DIETETICS POLITICAL ACTION COMMITTEE                                                                                                                                        |                    
 ACADIA HEALTHCARE COMPANY INC FEDPAC                                                                                                                                                                 |                    
 ACADIAN AMBULANCE SERVICE INC EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE                                                                                                                            |                    
 A CANTOR OUT OF TUNE                                                                                                                                                                                 |                    
 ACCELERATING ENERGY LEADERSHIP PAC                                                                                                                                                                   |                    
 ACCENTCARE INC PAC                                                                                                                                                                                   |                    
 ACCENTURE INC. POLITICAL ACTION COMMITTEE                                                                                                                                                            |                    
 ACCOMPLISH OUR MISSION                                                                                                                                                                               |                    
 ACCOUNTABILITY 2010                                                                                                                                                                                  |                    
 ACCOUNTABILITY COALITION                                                                                                                                                                             |                    
 ACCOUNTABILITY NOW PAC                                                                                                                                                                               |                    
 ACCOUNTABILITY PAC                                                                                                                                                                                   |                    
 ACCOUNTABILITY PROJECT POLITICAL ACTION COMMITTEE (PAC); THE                                                                                                                                         |                    
 ACCOUNTABLE AMERICA INC                                                                                                                                                                              |                    
 ACE CASH EXPRESS, INC. PAC                                                                                                                                                                           |                    
 ACE GROUP HOLDINGS, INC. POLITICAL ACTION COMMITTEE                                                                                                                                                  |                    
 ACME BRICK COMPANY GOOD GOVERNMENT FUND FOR FEDERAL ELECTIONS                                                                                                                                        |                    
 A COMPLETELY LEGITIMATE SUPER PAC                                                                                                                                                                    |                    
 ACPAC ACA INTERNATIONAL POLITICAL ACTION COMMITTEE                                                                                                                                                   |                    
 ACP-RXPAC                                                                                                                                                                                            |                    
 A CRITICAL CHOICE FOR AMERICA POLITICAL ACTION COMMITTEE                                                                                                                                             |                    
 ACTAVIS INC POLITICAL ACTION COMMITTEE AKA ACT PAC                                                                                                                                                   |                    
 ACTBLUE                                                                                                                                                                                              |             2410.00
 ACT DEMOCRATIC VICTORY FUND                                                                                                                                                                          |                    
 ACTION4LIBERTY                                                                                                                                                                                       |              500.00
 ACTION COMMITTEE FOR RURAL ELECTRIFICATION/MISSOURI COOPERATIVES (FKA MISSOURI ACRE)                                                                                                                 |                    
 ACTION PAC                                                                                                                                                                                           |            35000.00
 ACTIONPOINTS                                                                                                                                                                                         |                    
 ACT NOW PAC INC                                                                                                                                                                                      |                    
 ACTON PAC                                                                                                                                                                                            |             2500.00
 ACTRIGHT                                                                                                                                                                                             |                    
 ACTUAL CITIZENS UNITED                                                                                                                                                                               |                    
 ADAM CLAYTON POWELL FOR CONGRESS                                                                                                                                                                     |                    
 ADAM HASNER FLORIDA VICTORY COMMITTEE                                                                                                                                                                |                    
 ADAM HASNER FOR US HOUSE                                                                                                                                                                             |                    
 ADAM KING FOR CONGRESS                                                                                                                                                                               |                    
 ADAM NICK FOR CONGRESS                                                                                                                                                                               |                    
 ADAM SEDLOCK FOR CONGRESS                                                                                                                                                                            |                    
 ADAMS FOR CONGRESS                                                                                                                                                                                   |                    
 ADAM SMITH FOR CONGRESS COMMITTEE                                                                                                                                                                    |                    
 ADAMS OUTDOOR ADVERTISING INC PAC AKA: ADAMSPAC                                                                                                                                                      |                    
 ADAMS, STEPHEN                                                                                                                                                                                       |                    
  ADDIVINOLA COMMITTEE; THE                                                                                                                                                                           |                    
 ADDUCI, MASTRIANI & SCHAUMBERG, L.L.P. POLITICAL ACTION COMMITTEE AM&S PAC                                                                                                                           |                    
 ADELANTE BORICUA                                                                                                                                                                                     |                    
 ADEPTUS HEALTH INC PAC                                                                                                                                                                               |                    
 ADIRONDACK JOBS PAC                                                                                                                                                                                  |                    
 ADRIAN DELEON FOR CONGRESS                                                                                                                                                                           |                    
 ADRIAN SMITH FOR CONGRESS                                                                                                                                                                            |              250.00
 A DUDA & SONS, INC. POLITICAL ACTION COMMITTEE                                                                                                                                                       |                    
 ADVANCE AMERICA CASH ADVANCE CENTERS INC. PAC                                                                                                                                                        |                    
 ADVANCED CONCEPTS AND TECHNOLOGIES INTERNATIONAL LLC POLITICAL ACTION COMMITTEE                                                                                                                      |                    
 ADVANCED MEDICAL TECHNOLOGY ASSOCIATION POLITICAL ACTION COMMITTEE                                                                                                                                   |                    
 ADVANCED MICRO DEVICES, INC. PAC                                                                                                                                                                     |                    
 ADVANCE THE MAJORITY POLITICAL ACTION COMMITTEE                                                                                                                                                      |                    
 ADVANCING CHIROPRACTIC PAC  (FEDERATION OF STRAIGHT CHIROPRACTORS AND ORGANIZATIONS)                                                                                                                 |                    
 ADVANCING FREEDOM ACTION NETWORK                                                                                                                                                                     |            80000.00
 ADVANCING FREEDOM FUND                                                                                                                                                                               |                    
 ADVANCING INTERNATIONAL RELATIONS                                                                                                                                                                    |                    
 ADVANCING MANUFACTURING AND INDUSTRY IN AMERICA PAC                                                                                                                                                  |                    
 ADVANCING WISCONSIN INC                                                                                                                                                                              |                    
 ADVOCATES FOR NEW HAMPSHIRE PATIENTS                                                                                                                                                                 |                    
 ADVOCATES PLANNED PARENTHOOD OF LOUISVILLE AND WESTERN KY                                                                                                                                            |                    
 ADVOCATES THE POLITICAL ARM OF PLANNED PARENTHOOD OF THE ST LOUIS REGION                                                                                                                             |                    
 ADVOCAT INC. POLITICAL ACTION COMMITTEE                                                                                                                                                              |                    
 ADVOCATING FOR CARE TOGETHER PAC INC                                                                                                                                                                 |                    
 AECOM US FEDERAL PAC                                                                                                                                                                                 |                    
 AEGON USA, LLC/TRANSAMERICA CORPORATION PAC                                                                                                                                                          |                    
 AELEA FOR CONGRESS                                                                                                                                                                                   |                    
 AEROFLEX INCORPORATED PAC                                                                                                                                                                            |                    
 AEROJET ROCKETDYNE, INC. & GENCORP INC. PAC                                                                                                                                                          |                    
 AERONAUTICAL REPAIR STATION ASSOCIATION POLITICAL ACTION COMMITTEE                                                                                                                                   |                    
 AEROSPACE AND DEFENSE POLITICAL ACTION COMMITTEE                                                                                                                                                     |                    
 AEROSPACE INDUSTRIES ASSOCIATION OF AMERICA INC POLITICAL ACTION COMMITTEE (AIAPAC)                                                                                                                  |                    
 AES CORPORATION POLITICAL ACTION COMMITTEE; THE                                                                                                                                                      |                    
 AETNA INC. POLITICAL ACTION COMMITTEE                                                                                                                                                                |                    
 AFFINITY FEDERAL CREDIT UNION POLITICAL ACTION COMMITTEE (AFFINITY PAC)                                                                                                                              |                    
 AFFORDABLE HEALTH CARE FOR AMERICA PAC                                                                                                                                                               |                    
 AFGHANISTAN & IRAQ VETERANS FOR CONGRESS PAC                                                                                                                                                         |                    
 AFLAC PAC                                                                                                                                                                                            |                    
 AFL-CIO                                                                                                                                                                                              |                    
 AFL-CIO COMMITTEE ON POLITICAL EDUCATION TREASURY ACCOUNT                                                                                                                                            |                    
 AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE                                                                                                                                                       |                    
 AFOGNAK NATIVE CORPORATION-ALUTIIQ PAC                                                                                                                                                               |                    
 AFRICA FOR OBAMA (AFO)                                                                                                                                                                               |                    
 AFRICAN AMERICAN SUPER PAC                                                                                                                                                                           |                    
 AFRICAN AMERICAN VOTER REGISTRATION EDUCATION AND PARTICIPATION PROJECT                                                                                                                              |                    
 AFRICAN FEDERALIST MOVEMENT                                                                                                                                                                          |                    
 AFSCME COUNCIL 13                                                                                                                                                                                    |                    
 AFSCME COUNCIL 31 POLITICAL CONTRIBUTION                                                                                                                                                             |                    
